auc	q	max_cost_decrease	acc_cost_decrease	f1_cost_decrease
0.55	0.5	0.73	0.73	0.00
0.55	0.52	0.83	0.77	0.00
0.55	0.54	0.95	0.80	0.00
0.55	0.56	0.74	0.53	0.00
0.55	0.58	0.59	0.34	0.00
0.55	0.6	0.49	0.21	0.00
0.55	0.62	0.48	0.12	0.00
0.55	0.64	0.84	0.18	0.00
0.55	0.66	0.81	0.17	0.00
0.55	0.68	1.41	0.15	0.00
0.55	0.7	1.38	0.00	0.00
0.55	0.72	1.12	0.00	0.00
0.55	0.74	0.97	0.00	0.00
0.55	0.76	0.91	0.00	0.00
0.55	0.78	0.87	0.00	0.00
0.55	0.8	0.83	0.00	0.00
0.55	0.82	0.79	0.00	0.00
0.55	0.84	1.07	0.00	0.09
0.55	0.86	0.98	0.00	0.36
0.55	0.88	0.87	0.00	0.54
0.55	0.9	0.75	0.00	0.63
0.55	0.92	0.63	0.00	0.60
0.55	0.94	0.49	0.00	0.49
0.55	0.96	0.34	0.00	0.32
0.55	0.98	0.17	0.00	0.12
0.6	0.5	1.64	1.61	0.00
0.6	0.52	1.99	1.98	0.00
0.6	0.54	2.02	1.97	0.00
0.6	0.56	1.70	1.62	0.00
0.6	0.58	1.45	1.29	0.00
0.6	0.6	1.38	0.99	0.00
0.6	0.62	1.50	0.81	0.00
0.6	0.64	2.06	1.32	0.00
0.6	0.66	1.89	1.13	0.00
0.6	0.68	3.10	1.43	0.00
0.6	0.7	3.08	1.32	0.40
0.6	0.72	2.74	1.22	0.75
0.6	0.74	2.43	0.79	1.02
0.6	0.76	2.15	0.71	1.22
0.6	0.78	1.93	0.64	1.41
0.6	0.8	1.77	0.58	1.49
0.6	0.82	1.66	0.00	1.54
0.6	0.84	2.38	0.00	2.29
0.6	0.86	2.18	0.00	2.17
0.6	0.88	1.94	0.00	1.94
0.6	0.9	1.69	0.00	1.65
0.6	0.92	1.40	0.00	1.29
0.6	0.94	1.09	0.00	0.91
0.6	0.96	0.76	0.00	0.53
0.6	0.98	0.39	0.00	0.18
0.65	0.5	2.98	2.94	0.00
0.65	0.52	3.46	3.46	0.00
0.65	0.54	3.38	3.37	0.00
0.65	0.56	3.08	2.97	0.18
0.65	0.58	2.88	2.67	0.47
0.65	0.6	2.80	2.48	0.83
0.65	0.62	2.87	2.41	1.23
0.65	0.64	3.77	3.06	2.13
0.65	0.66	3.62	2.76	2.39
0.65	0.68	5.07	3.84	3.87
0.65	0.7	5.00	3.61	4.09
0.65	0.72	4.61	3.06	3.88
0.65	0.74	4.20	2.83	3.69
0.65	0.76	3.78	2.27	3.44
0.65	0.78	3.42	2.07	3.26
0.65	0.8	3.06	1.47	2.99
0.65	0.82	2.75	1.30	2.75
0.65	0.84	3.78	1.59	3.71
0.65	0.86	3.44	1.35	3.31
